STOP_FRISK_ID,STOP_FRISK_TIME,MONTH2,DAY2,SUSPECTED_CRIME_DESCRIPTION,STOP_DURATION_MINUTES,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_BORO_NAME
10099,21:10:00,April,Friday,ASSAULT,5,N,Y,(null),41,MALE,ASIAN/PAC.ISL,QUEENS
10100,22:14:00,May,Saturday,GRAND LARCENY,1,N,N,(null),15,MALE,ASIAN/PAC.ISL,QUEENS
10101,22:14:00,May,Saturday,GRAND LARCENY,1,N,N,(null),15,MALE,ASIAN/PAC.ISL,QUEENS
10102,19:40:00,May,Saturday,BURGLARY,5,N,N,(null),18,MALE,WHITE HISPANIC,QUEENS
10103,15:30:00,May,Tuesday,ASSAULT,10,N,Y,(null),(null),(null),(null),QUEENS
10104,15:30:00,May,Tuesday,ASSAULT,10,N,Y,(null),(null),(null),(null),QUEENS
10105,1:10:00,April,Wednesday,UNAUTHORIZED USE OF A VEHICLE,5,N,N,(null),51,MALE,WHITE,QUEENS
10106,0:30:00,April,Friday,GRAND LARCENY AUTO,5,N,N,(null),19,MALE,WHITE HISPANIC,QUEENS
10107,21:00:00,April,Saturday,ROBBERY,5,N,N,(null),36,MALE,WHITE HISPANIC,QUEENS
10108,21:17:00,April,Saturday,ROBBERY,2,N,N,(null),21,MALE,BLACK,QUEENS
10109,21:48:00,April,Saturday,ROBBERY,2,N,N,(null),20,MALE,BLACK,QUEENS
10110,0:02:00,May,Friday,ROBBERY,15,N,N,(null),21,MALE,WHITE HISPANIC,QUEENS
10111,20:30:00,May,Sunday,BURGLARY,5,N,N,(null),19,MALE,ASIAN/PAC.ISL,QUEENS
10112,20:30:00,May,Sunday,BURGLARY,5,N,N,(null),20,MALE,ASIAN/PAC.ISL,QUEENS
10113,22:46:00,May,Sunday,GRAND LARCENY,7,N,N,(null),17,MALE,WHITE HISPANIC,QUEENS
10114,22:45:00,May,Wednesday,CRIMINAL TRESPASS,5,N,N,(null),16,MALE,BLACK,QUEENS
10115,1:07:00,May,Wednesday,CPW,3,N,Y,(null),48,MALE,BLACK HISPANIC,QUEENS
10116,22:15:00,May,Wednesday,BURGLARY,15,N,N,(null),27,MALE,WHITE,QUEENS
10117,22:15:00,May,Wednesday,BURGLARY,15,N,N,(null),27,MALE,WHITE,QUEENS
10118,9:50:00,June,Thursday,CPW,5,N,Y,(null),18,MALE,BLACK,QUEENS
10119,17:30:00,June,Sunday,CPW,1,Y,Y,(null),21,(null),BLACK,QUEENS
10120,8:31:00,June,Monday,CPW,2,N,Y,(null),17,MALE,BLACK,QUEENS
10121,11:19:00,July,Saturday,GRAND LARCENY AUTO,30,N,N,(null),42,MALE,WHITE HISPANIC,QUEENS
10122,20:17:00,June,Friday,CPW,5,N,Y,(null),34,MALE,BLACK,QUEENS
10123,14:15:00,June,Thursday,ROBBERY,30,N,Y,(null),20,MALE,WHITE,QUEENS
10124,14:15:00,June,Thursday,ROBBERY,30,N,Y,(null),21,MALE,WHITE HISPANIC,QUEENS
10125,16:10:00,May,Wednesday,CRIMINAL TRESPASS,10,Y,N,(null),19,MALE,WHITE HISPANIC,QUEENS
